idx,ou,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_knn_prediction,raw_knn_confidence,raw_log_prediction,raw_log_confidence,+pts_linsvc_prediction,+pts_linsvc_confidence,+pts_lightgbc_prediction,+pts_lightgbc_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-20AR_Lit_Rock,0,0,0.5209768079916568,1,0.5454545454545454,0,0.5191622433909262,1,0.5,0,0.5225682962065044,1,0.689551579983381
2017-11-20Buffalo,0,0,0.5021769848220353,1,0.6477272727272727,0,0.5293333573176802,1,0.5,1,0.5198418456029787,1,0.5726033725084372
2017-11-21Air_Force,1,0,0.5382650859500409,1,0.5,0,0.5133401777670592,1,0.5,0,0.5159701859351162,0,0.7297294742002837
2017-11-21Alabama,0,0,0.5319503181747165,0,0.5227272727272727,0,0.5164695632078184,0,0.5050901370709324,1,0.5008698347519939,0,0.5033145024264105
2017-11-21Baylor,0,0,0.5211797636095331,1,0.5113636363636364,0,0.5262637865328949,0,0.5076139691680507,0,0.5212539732559436,1,0.5722959319277676
2017-11-21Buffalo,1,0,0.5113701730988206,1,0.5795454545454546,0,0.5171046572576885,0,0.5077581576251511,1,0.5139139911657531,0,0.5332861187659805
2017-11-22App_State,1,0,0.5001162258819527,1,0.6022727272727273,0,0.5159885667037569,1,0.5,1,0.5337949949535586,0,0.5376940638237708
2017-11-22Arizona,1,0,0.5436032956695733,0,0.5454545454545454,1,0.5127512884247132,0,0.5069036544849767,0,0.5067769625235578,1,0.5789394755831291
2017-11-22Arkansas_St,1,1,0.5188595036491311,1,0.6477272727272727,0,0.509035545315311,1,0.5,1,0.5156659144837303,1,0.722499465089694
2017-11-22Belmont,0,0,0.5015956606716869,0,0.5227272727272727,0,0.5090184391258483,0,0.506162929820523,1,0.5039729834361402,1,0.6491202052476204
2017-11-22Binghamton,0,0,0.5124143836216373,1,0.5,1,0.5002232990985563,0,0.5063844853222139,0,0.5296479460524496,0,0.6031225513158178
2017-11-22Buffalo,1,0,0.5165354443293269,1,0.5795454545454546,0,0.5215302222010303,0,0.506705080872051,0,0.5120814293771003,0,0.8976748799319941
2017-11-23Arizona,0,0,0.5525686112733244,0,0.5340909090909091,0,0.501187774381887,0,0.5075512865642756,0,0.5011412360760421,0,0.5147983428268175
2017-11-23Arizona_St,1,0,0.5346669672710712,0,0.5454545454545454,1,0.5053933901668528,0,0.5054351266061203,0,0.5225970485771121,0,0.8325734023417458
2017-11-23Arkansas,1,0,0.5073401414380192,1,0.5568181818181818,0,0.5185285053284678,0,0.5050073842478845,1,0.5220021627131773,1,0.6135906638332255
2017-11-24Alab_A&M,1,0,0.5295023958081819,0,0.5681818181818182,0,0.5063574530925932,0,0.5052268883883583,0,0.5174093349517619,1,0.7768135830475198
2017-11-24Alabama,0,0,0.5280714131286819,1,0.5,0,0.5061827429392753,0,0.5072962173608533,0,0.5229453391721108,0,0.6496210631320418
2017-11-24Arizona_St,1,0,0.5402508520221088,0,0.5340909090909091,0,0.5082769863147977,0,0.5063549976758877,0,0.5161733627961883,0,0.7928232685175343
