idx,winner,raw_linsvc_prediction,raw_linsvc_confidence,raw_lightgbc_prediction,raw_lightgbc_confidence,raw_knn_prediction,raw_knn_confidence,raw_log_prediction,raw_log_confidence,+pts_log_prediction,+pts_log_confidence
2017-11-21Air_Force,0,0,0.5426502731084779,1,0.5528249267451388,0,0.6506024096385542,0,0.5299656681747005,1,0.5664291262636736
2017-11-21Alab_A&M,0,1,0.7862869561614286,1,0.6006732977131239,1,0.6445783132530121,0,0.9816961335667257,0,0.6684750105065549
2017-11-21Alabama,1,0,0.5788645418652854,1,0.6429959637497824,0,0.6204819277108434,1,0.8126064849048683,1,0.9946084633212893
2017-11-21Baylor,1,0,0.7286857560492236,0,0.6320492377041007,0,0.6144578313253012,0,0.5190850178347598,1,0.9467181848094226
2017-11-21Binghamton,0,1,0.6288936674570279,0,0.5505369109715128,1,0.6867469879518072,0,0.5361930540908328,1,0.9379912336596605
2017-11-21Buffalo,1,0,0.6947079821033744,1,0.594370316272504,0,0.5783132530120482,0,0.6290699572631604,1,0.9918760080982016
2017-11-22App_State,0,1,0.5990746442912204,1,0.5945618363304562,0,0.572289156626506,1,0.8086210576459821,1,0.8924164659618523
2017-11-22Arizona,0,0,0.6326745144335433,1,0.5223753287663983,0,0.6445783132530121,1,0.7761063868586292,1,0.9905558664207837
2017-11-22Arkansas_St,0,1,0.5561255501867577,1,0.6000136880157337,1,0.5060240963855421,0,0.8799559200930506,1,0.9999312945859016
2017-11-22Belmont,0,0,0.57381481429008,1,0.5361344707655317,0,0.6204819277108434,1,0.569098644912283,1,0.9999788919488543
2017-11-22Binghamton,1,1,0.6908583345167585,1,0.5658513718877527,1,0.5903614457831325,1,0.8268731965396386,1,0.9999096540455382
2017-11-22Buffalo,0,0,0.6164705852938507,1,0.5492403671490056,0,0.5542168674698795,1,0.5953711318475575,0,0.999499241698912
2017-11-23Arizona,0,0,0.6597274595436414,0,0.5476945216110602,0,0.6746987951807228,1,0.9127157346118174,1,0.9972659378405292
2017-11-23Arizona_St,1,1,0.5575297694608585,1,0.5258587567950691,1,0.5180722891566265,0,0.606702981846402,0,0.9904272503833726
2017-11-23Arkansas,1,1,0.5527786675008127,1,0.5911147253285877,1,0.5783132530120482,0,0.6994088901694926,1,0.6933437367103802
2017-11-24Alab_A&M,0,1,0.7400755422936698,1,0.6460208246007244,1,0.5662650602409639,0,0.8457877124475321,1,0.9998435995531811
2017-11-24Alabama,1,0,0.6720270321424426,1,0.5358098843142545,0,0.6265060240963856,1,0.7808780587295678,1,0.9791937913786641
2017-11-24Arizona,0,0,0.6107986514931723,1,0.5570749352387534,0,0.5060240963855421,0,0.5698670449866572,1,0.9492374861441688
2017-11-24Arizona_St,1,0,0.6380444994666391,0,0.6620575380060105,0,0.5783132530120482,0,0.8821213524168757,0,0.9181060332609869
2017-11-24Ark_Pine_Bl,0,0,0.5651144256117108,1,0.6106633125765639,0,0.6385542168674698,0,0.7133882362110939,1,0.9938034786179706
2017-11-24Arkansas,0,1,0.6483145152102301,1,0.5323727170743837,1,0.5180722891566265,0,0.5722000200312536,0,0.9999971749045692
2017-11-24Arkansas_St,0,1,0.7632923526849341,1,0.627133089119072,1,0.7048192771084337,0,0.5403638999970624,1,0.9999870113394487
